Transaction_ID,Date,Time,Merchant_ID,Customer_ID,Device_ID,Transaction_Type,Payment_Gateway,Transaction_City,Transaction_State,IP_Address,Transaction_Status,Device_OS,Transaction_Frequency,Merchant_Category,Transaction_Channel,Transaction_Amount_Deviation,Days_Since_Last_Transaction,amount,fraud
T10000000,08/10/23,09:56:14,56ebe5e0-995d-4005-83c6-07b6e91c790b,1084d8aa-0091-4484-a140-0a9a453e6f37,7dc2a0de-9c95-4987-8bbe-28d513dae7fd,Purchase,Bank of Data,Moradabad,Punjab,50.165.110.31,Pending,Android,0,Travel bookings,Mobile,94.53664441907188,23,788.2626328965059,1
T10000001,16/05/23,05:07:01,1706df96-bf79-4c3c-9f64-e9dbee5515fb,6a5c51d5-0c44-4f9f-b794-f820b9063286,87800a83-bae9-428b-9ad5-b40c37812a49,Purchase,Sigma Bank,Shahjahanpur,Assam,136.126.138.5,Completed,MacOS,0,Financial services and Taxes,Online,39.923822198738726,24,83.43915167077985,0
T10000002,12/09/23,04:59:46,8dc8b698-71b6-40ab-8df3-db663b930e78,cab87f25-dc80-422d-8ea3-15eed562c68f,a753e488-4b80-4bde-b658-2519dbc91cec,Bill Payment,Sigma Bank,Giridih,Sikkim,205.160.206.92,Pending,Android,0,Utilities,Mobile,33.23584950767581,25,83.89155853030312,0
T10000003,06/04/24,02:41:27,78f6a3ce-b95c-4a84-98bd-7733e0bb865c,d5ab7e7d-2b69-4e90-82ba-036b1fc40938,bd45d094-1609-47c8-bc06-96fb84845b88,Subscription,SamplePay,Vijayawada,Odisha,152.145.0.137,Failed,iOS,3,More Services,In-store,-30.78899282962262,15,136.97256200618068,1
T10000004,16/09/23,06:34:53,c40e375a-8843-4e6f-89ab-193db288d017,85b6385e-210e-464e-a29f-26956df31bb0,98530f05-e28d-46f2-9b11-36f8bfeca306,Purchase,Gamma Bank,Faridabad,Mizoram,15.112.16.85,Completed,Windows,6,Investment,Mobile,-49.1134258784163,5,4.654856880252654,0
T10000005,16/05/23,01:12:07,d5d1b45a-b04a-4c21-9788-020d9968d8d6,13a30926-ad34-4704-ae0b-9b9229688194,fd9dbc72-5e74-4256-9c08-c5af75d49368,Refund,UPI Pay,Tiruppur,Manipur,76.174.107.48,Pending,Android,0,Other,Mobile,-82.17055613465382,17,134.13114661014285,1
T10000006,02/10/23,03:53:41,521b57a5-4020-44a9-8b79-21e24818feba,d78009f0-efb2-48cb-a5a5-abf79ace9f51,304c6f94-f5d3-499c-87ac-cd20f2560ed4,Refund,SamplePay,Anand,Nagaland,171.156.31.25,Failed,Android,3,Purchases,Mobile,18.97024471185387,17,18.234434829103744,0
T10000007,02/11/23,08:55:19,d689dcd7-c1c6-422f-a149-7064e19dc91a,54f4fea1-3b9c-4f3a-b1eb-2331820cd2a1,bc08afa6-102a-46df-897b-0353eaa66985,Investment,Alpha Bank,Chandigarh,Tamil Nadu,70.76.60.113,Failed,MacOS,1,Financial services and Taxes,Mobile,44.42621414211326,27,22.044631964995812,0
T10000008,09/02/24,08:11:04,6e2648e8-b3ef-422a-91d0-3baae4eda065,8b15d232-6e2c-4546-864f-82136461f72e,68240d69-8bfc-4ef4-a241-d35683221e74,Purchase,UPI Pay,Kirari Suleman Nagar,Haryana,171.70.172.186,Completed,iOS,3,Donations and Devotion,Online,-68.56667341741432,14,56.36509692219173,0
T10000009,02/09/23,06:36:13,6a7f2fbe-00c1-47bb-ac83-d40643a2db95,9e7aefed-c614-471f-a130-b938db40944d,689e9890-69a5-4fb3-9200-23aab845d101,Bill Payment,Alpha Bank,Kozhikode,Andhra Pradesh,168.123.192.10,Completed,MacOS,2,Donations and Devotion,Online,-9.66130095540891,9,28.96500966145621,0
T10000010,08/08/23,07:59:42,d4a5efcb-4eb6-4d3a-8132-07bb3e6e13a4,8a8962f9-e84a-4573-ab0b-187311978a21,62e14f64-b0ba-4284-889a-51ac05baf33e,Bank Transfer,SamplePay,Rajpur Sonarpur,Himachal Pradesh,184.108.177.45,Pending,Windows,30,Home delivery,Mobile,-42.49625110319675,19,119.11454232692242,1
T10000011,30/09/23,12:47:34,9030f879-1d65-40e0-bf4f-97837cbeb6dd,66e74a71-5b26-4626-8a9e-abc64177ab85,1fd7f077-d45b-4e76-949f-48a230b95a5a,Refund,Gamma Bank,Jorhat,Gujarat,144.241.132.229,Completed,Windows,3,Donations and Devotion,Mobile,-7.137809295981401,31,39.8010756271006,0
T10000012,11/12/23,11:23:42,2819cab3-a818-4a68-96c1-62dd0a2f81c1,375759ca-b6b9-4196-b37e-9e03f30adb74,a071d0f4-bf1d-47e1-b34b-6d66ce31c42a,Bill Payment,Alpha Bank,Tiruvottiyur,Karnataka,145.180.168.210,Failed,iOS,1,Home delivery,In-store,77.2978361667784,23,15.140987779131397,0
T10000013,04/09/23,12:20:07,4753c69b-cc6d-4d1c-9d2c-bccdea186d0f,a674251a-db0d-40e7-be02-893cd20247cb,445a8e1c-d518-44d0-b5f2-ee424d973212,Other,Alpha Bank,Gudivada,Maharashtra,24.92.185.187,Completed,iOS,9,Home delivery,Online,12.769110221415033,8,28.42328009552027,0
T10000014,12/02/24,10:45:54,df675fcb-c26f-42d9-802c-8de00500b946,05106c18-7cda-4450-9499-608e4bbe81ce,b1259d1b-11b0-4fd4-8e30-6015a62f5153,Investment,Other,Loni,Karnataka,49.176.126.187,Failed,iOS,40,More Services,In-store,98.76084549949671,28,275.67961449654086,1
T10000015,14/12/23,08:16:38,1cc75bbd-bbb3-44a5-9cc5-8eadc897865a,5e72204b-ee5b-4002-9ade-76665e783c3b,d5b0a4b1-a1ad-4c93-9d69-37433cf762c2,Subscription,Sigma Bank,Thoothukudi,Gujarat,20.84.68.68,Failed,Windows,1,Other,In-store,33.67375113286277,6,28.690063606840326,0
T10000016,02/02/24,05:20:48,73d60351-66a9-4997-82aa-7afe19c20a3b,0304322e-d67e-40d1-bce1-f34827b14762,c714b279-ac62-4e1c-8e97-2e4fd9188ce9,Other,Sigma Bank,Hosur,Tripura,126.89.45.247,Completed,iOS,1,Travel bookings,Mobile,-29.204531578345367,16,8.382835060372352,0
T10000017,18/06/23,11:23:33,d283e7ce-aa56-4b60-8c26-84c1a6706a28,ad291468-d91d-4582-ab69-c64c11ef257e,4f667972-834c-4e36-991b-bffc4fbb7a12,Investment,Gamma Bank,Bikaner,Tripura,138.39.154.137,Failed,iOS,2,Utilities,Mobile,33.838519928602594,2,46.02192733199459,0
T10000018,16/12/23,09:22:06,938c5f45-3487-40df-abe1-8d73743cd990,0ba1b301-8d2a-4ee0-b0c3-15c3d45b76f9,04d4d118-561a-430b-bbb3-0455951f4c68,Bank Transfer,Bank of Data,Jaunpur,Uttarakhand,96.54.125.80,Completed,MacOS,1,Donations and Devotion,In-store,6.164282274514037,0,15.636328282148128,0
T10000019,24/01/24,07:42:02,48d0c75c-ee5e-463c-8366-ca526958fbae,f39889a3-88d2-47b5-bac8-0d3e22b88186,281512e0-f6aa-4611-a8c5-352cfc65b9ac,Bank Transfer,Gamma Bank,Morbi,Manipur,79.167.16.118,Completed,Windows,2,More Services,In-store,92.1379829162508,5,1.078086385322553,0
T10000020,16/12/23,03:07:36,d57d0bc8-84b4-41d3-b394-bdad7e804b41,efe6a274-6cb0-48a8-b7aa-02b0b007e368,634d1868-22bf-4e20-8baf-2de82dae46ce,Bill Payment,SamplePay,Gopalpur,Chhattisgarh,109.44.230.192,Completed,MacOS,2,Home delivery,Online,24.358126012801574,5,15.122549557705236,0
T10000021,23/01/24,01:40:00,fc5d1ad7-4160-4417-ad66-f5cf7ca1f8c7,e45e068d-59ab-4d35-a03c-04b9adeb59e4,dffd7418-1187-4732-befc-1855b0393771,Bank Transfer,CReditPAY,Navi Mumbai,Himachal Pradesh,37.190.62.167,Pending,Windows,3,Utilities,In-store,-40.95078374079733,8,133.38702596506806,1
T10000022,25/12/23,02:12:40,25b1f3c7-8189-483e-83c0-912178502d1f,3a3aa8d0-3973-49b8-998c-e4e82c1a9595,6a66392a-8821-4db1-826c-500f7bd7fffe,Purchase,Sigma Bank,Nanded,Punjab,2.252.89.141,Pending,Android,3,Brand Vouchers and OTT,In-store,59.75790583550294,14,2.679015015325838,0
T10000023,29/04/23,12:01:04,b75055f1-6470-4477-b625-758958b303b8,df6997c3-f720-4b9a-bdfd-d336f60a06c4,7c9c0261-c1fb-452e-8d5f-9afbdf13c664,Bank Transfer,Gamma Bank,Bally,Karnataka,64.37.66.95,Completed,iOS,0,Home delivery,In-store,63.14734957258536,4,12.454706341143877,0
T10000024,24/09/23,11:24:08,2989a275-03e5-4061-b645-22ea5eea26ed,1d72e635-2608-4842-99b2-5e42581d40bb,feac3b78-f9c8-44cf-9bd0-25745d765529,Investment,Other,Agartala,Madhya Pradesh,89.212.63.33,Completed,iOS,1,Brand Vouchers and OTT,Online,109.41339487065106,23,36.508465817428494,0
T10000025,19/02/24,11:08:56,a6abbae7-c0a2-4fb2-8477-203da521ff52,df5b5bb5-a56b-4f22-ad92-3282e6017291,dbb3adac-ce5a-4fe5-b066-8462fff89e47,Investment,CReditPAY,Raipur,Uttar Pradesh,186.153.210.51,Failed,Windows,4,More Services,Online,-16.996281235058973,3,19.38692937648031,0
T10000026,15/09/23,03:34:34,041ec7bc-0f9c-4f05-b462-5c2b29898ffe,11c64323-2b71-4db8-babd-8d0acfcfa7f3,75cac1dd-0f76-4424-97b9-f891a46829c8,Bill Payment,Sigma Bank,Jamalpur,Tripura,1.192.186.113,Pending,Android,1,Donations and Devotion,In-store,-22.77880563902816,6,671.1377226823015,1
T10000027,05/06/23,08:23:34,66aa4d83-c53b-44ae-9711-a9e38de547bb,2a699274-d2d1-4883-a448-0bc71a91d355,76284374-19ae-452a-bc5a-ea21e33e2477,Investment,Gamma Bank,Faridabad,Sikkim,92.71.104.145,Failed,Android,1,Donations and Devotion,In-store,68.29478824386355,3,675.9943453056452,1
T10000028,08/10/23,08:43:53,d43ad90b-6f0b-4c7e-98d3-54492c0e365d,d5573ffb-7025-4392-9059-24526d6d603f,98aeca4f-c2a3-476d-a9eb-f0b08ad757d4,Subscription,Bank of Data,Hapur,Himachal Pradesh,14.120.91.49,Pending,iOS,0,Brand Vouchers and OTT,In-store,-66.45290179220595,20,65.2982501697333,0
